t_min,mode,Core_ZN_temp,Perimeter_ZN_1_temp,Perimeter_ZN_2_temp,Perimeter_ZN_3_temp,Perimeter_ZN_4_temp,Core_ZN_pmv,Perimeter_ZN_1_pmv,Perimeter_ZN_2_pmv,Perimeter_ZN_3_pmv,Perimeter_ZN_4_pmv,facility_electricity_j,carbon_intensity_gco2_kwh
675.0,baseline,19.11834305004152,17.95776106157689,17.858600282237056,17.4977530581479,17.672282269937746,-1.01,-1.36,-1.39,-1.5,-1.45,0.0,291.2
685.0000000000001,baseline,19.158301945110185,18.017001483228682,17.905564464317756,17.54436061451657,17.72217089855599,-1.0,-1.34,-1.38,-1.49,-1.43,0.0,287.9
695.0,baseline,19.19560434384053,18.07642175514897,17.951292998449027,17.589805613530352,17.77117801423826,-0.99,-1.33,-1.36,-1.47,-1.42,0.0,284.7
705.0,baseline,19.23091755345247,18.13067284091282,17.99502707279825,17.63256760366815,17.817482247903445,-0.98,-1.31,-1.35,-1.46,-1.4,0.0,281.8
715.0000000000001,baseline,19.264865574292756,18.18121015697283,18.03708278533577,17.673258346523717,17.861647339003,-0.97,-1.3,-1.34,-1.45,-1.39,0.0,279.1
725.0,baseline,19.29768931339752,18.229700310459265,18.077832292583338,17.71244869421821,17.904292642556342,-0.96,-1.28,-1.33,-1.44,-1.38,0.0,276.8
735.0,baseline,19.15650128141976,18.111448857530206,17.968932457713855,17.586539929411188,17.79642784915856,-1.0,-1.32,-1.36,-1.47,-1.41,0.0,274.9
745.0000000000001,baseline,19.077131865219435,18.068383021449282,17.930244677666753,17.538783191829445,17.760408711648562,-1.03,-1.33,-1.37,-1.49,-1.42,0.0,273.3
755.0,baseline,19.044445757137268,18.065892816575634,17.92687149021637,17.535499931617835,17.760926298240875,-1.04,-1.33,-1.37,-1.49,-1.42,0.0,272.2
765.0,baseline,19.03336039375553,18.076169481861275,17.935146095324946,17.542985340387418,17.774852765362855,-1.04,-1.33,-1.37,-1.49,-1.42,0.0,271.6
775.0000000000001,baseline,19.033725277412486,18.090303332496163,17.94754467303683,17.55402063397939,17.79442243120006,-1.04,-1.32,-1.37,-1.48,-1.41,0.0,271.5
780.0,baseline,18.87046538397394,17.950035676259837,17.838212976847345,17.42027044080805,17.692636137888847,-1.09,-1.36,-1.4,-1.52,-1.44,0.0,271.7
790.0,baseline,19.031384879081564,18.11022365412311,17.981688934477038,17.57681211543348,17.84202324704957,-1.04,-1.32,-1.36,-1.48,-1.4,0.0,272.4
800.0,baseline,19.004154100774866,18.075753852262732,17.932341471520708,17.54672418687346,17.8006993016431,-1.05,-1.33,-1.37,-1.49,-1.41,0.0,273.6
810.0,baseline,19.035902678473157,18.106767035469403,17.98198209158096,17.577662858317574,17.855955910284017,-1.04,-1.32,-1.36,-1.48,-1.39,0.0,275.4
820.0,baseline,19.023855935217856,18.087532077364347,17.952186884471868,17.554394058253298,17.833519455296905,-1.04,-1.32,-1.36,-1.48,-1.4,0.0,277.8
830.0,baseline,19.02135329302323,18.0761479382968,17.95942999156622,17.547059193525573,17.84637677921247,-1.04,-1.33,-1.36,-1.49,-1.4,0.0,280.7
840.0,baseline,19.00734774153092,18.049351971844363,17.933207770292427,17.523411256213908,17.827187380133466,-1.05,-1.34,-1.37,-1.49,-1.4,0.0,284.2
850.0,baseline,19.00621294679909,18.038747013800585,17.93361181309675,17.51721614070107,17.83358041081158,-1.05,-1.34,-1.37,-1.49,-1.4,0.0,288.3
860.0,baseline,18.995447921307,18.02433052063684,17.91978306189504,17.50679077359148,17.826709286163588,-1.05,-1.34,-1.37,-1.5,-1.4,0.0,292.9
870.0,baseline,18.99416667051933,18.0137753509823,17.915800556082882,17.500515592885506,17.829298292852723,-1.05,-1.35,-1.38,-1.5,-1.4,0.0,298.1
880.0,baseline,18.991138312435627,17.99585548545392,17.904315500703426,17.491584406358037,17.822304024867535,-1.05,-1.35,-1.38,-1.5,-1.4,0.0,303.7
890.0,baseline,18.990091195453537,17.977058076243555,17.895633021130756,17.482726033687648,17.817463976021067,-1.05,-1.36,-1.38,-1.51,-1.4,0.0,310.0
905.0,baseline,19.234872676880148,18.181536588693028,18.08196921700943,17.69495419031995,18.00825766836195,-0.98,-1.3,-1.33,-1.44,-1.35,0.0,320.2
910.0,baseline,19.106039392870855,18.017891671887714,17.962267752272435,17.556942056125827,17.8890892532194,-1.02,-1.34,-1.36,-1.48,-1.38,0.0,323.9
925.0000000000001,baseline,19.31713967751194,18.198060937544643,18.12416718403208,17.742335527374035,18.052076804977798,-0.95,-1.29,-1.31,-1.43,-1.33,0.0,335.5
935.0,baseline,19.467901177814333,18.29536722521864,18.2186586184422,17.851677215766323,18.143999067737962,-0.91,-1.26,-1.28,-1.39,-1.31,0.0,343.8
945.0,baseline,19.56103978711978,18.343317326861644,18.269314019341618,17.906653973593734,18.19483652757271,-0.88,-1.25,-1.27,-1.38,-1.29,0.0,352.5
955.0000000000001,baseline,19.619993848593055,18.370415867486592,18.300595745321022,17.939534605813165,18.22980780238977,-0.86,-1.24,-1.26,-1.37,-1.28,0.0,361.5
964.9999999999999,baseline,19.662693155506524,18.388278615740454,18.32414701281415,17.966764699003452,18.256870842472253,-0.85,-1.23,-1.25,-1.36,-1.27,0.0,370.9
975.0,baseline,19.695993751279598,18.393565473697336,18.338238964299673,17.982098816773117,18.27334453394983,-0.84,-1.23,-1.25,-1.36,-1.27,0.0,380.5
984.9999999999999,baseline,19.72798286033766,18.392058681319696,18.347672708017804,17.99388925895817,18.283477509793638,-0.83,-1.23,-1.25,-1.35,-1.26,0.0,390.2
994.9999999999999,baseline,19.75543936352528,18.374854299741266,18.350982773221045,18.000408837085146,18.274622347245526,-0.82,-1.24,-1.24,-1.35,-1.27,0.0,400.1
1005.0,baseline,19.77945919645602,18.363231438306734,18.355941888734908,18.0088374960716,18.27144170797571,-0.82,-1.24,-1.24,-1.35,-1.27,0.0,410.1
1009.9999999999999,baseline,19.565753979062762,18.145376879896833,18.190497799170572,17.817298600760964,18.10107182710496,-0.88,-1.31,-1.29,-1.4,-1.32,0.0,415.0
1020.0,baseline,19.529562298934405,18.117367636636715,18.18856623072153,17.79838467782631,18.09800417855025,-0.89,-1.31,-1.29,-1.41,-1.32,0.0,424.8
1035.0,baseline,19.242931778759083,17.835789525949927,17.940012355515833,17.526583677132415,17.845785469835526,-0.98,-1.4,-1.37,-1.49,-1.4,0.0,439.1
1044.9999999999998,baseline,19.026749816561928,17.648982059395678,17.77010085206837,17.35073442276016,17.67283179053682,-1.04,-1.46,-1.42,-1.54,-1.45,0.0,448.3
1055.0,baseline,18.88590146735298,17.52483387791917,17.638098608152312,17.23346028796988,17.538655591416088,-1.08,-1.49,-1.46,-1.58,-1.49,0.0,456.9
1065.0,baseline,18.79334949332606,17.44046612023502,17.547778207098183,17.152473954204954,17.445749294811087,-1.11,-1.52,-1.49,-1.6,-1.52,0.0,465.0
1074.9999999999998,baseline,18.729812194190867,17.378766061198142,17.482735457774524,17.09369082654147,17.378499972160274,-1.13,-1.54,-1.51,-1.62,-1.54,0.0,472.4
1085.0,baseline,18.68075061880967,17.32928176460989,17.431689209966557,17.046866276614004,17.32537653411962,-1.15,-1.55,-1.52,-1.64,-1.55,0.0,479.0
1095.0,baseline,18.51704871880665,17.17017137728152,17.28978071636425,16.890856774332065,17.18154258550767,-1.19,-1.6,-1.56,-1.68,-1.6,0.0,484.7
1104.9999999999998,baseline,18.392226537140694,17.055467233174042,17.176964994172607,16.77879381012015,17.068146846618106,-1.23,-1.63,-1.6,-1.72,-1.63,0.0,489.5
1115.0,baseline,18.310668071523473,16.980457701045353,17.099671962963903,16.70622966908109,16.99069350572597,-1.26,-1.66,-1.62,-1.74,-1.65,0.0,493.2
1120.0,baseline,18.017877046564738,16.709053018640276,16.86092760283705,16.439596895108135,16.750383157621233,-1.34,-1.74,-1.69,-1.82,-1.72,0.0,494.7
1130.0,baseline,17.9631232544528,16.663765493152415,16.82534168991849,16.398004361503826,16.714924197913163,-1.36,-1.75,-1.7,-1.83,-1.74,0.0,496.8
1140.0,baseline,17.86692225249461,16.572275033370218,16.71947179562838,16.30768114766378,16.609822767726264,-1.39,-1.78,-1.73,-1.86,-1.77,0.0,497.8
1150.0,baseline,17.819667791967557,16.529608097196487,16.68314938641634,16.267773611629956,16.57320213359452,-1.4,-1.79,-1.75,-1.87,-1.78,0.0,497.7
1160.0,baseline,17.76685927374567,16.479996800177314,16.62172061260582,16.2197414336725,16.512900068639812,-1.42,-1.81,-1.76,-1.88,-1.8,0.0,496.5
1170.0,baseline,17.73064852496852,16.445688772649948,16.589878505915006,16.187657418165344,16.48104225775109,-1.43,-1.82,-1.77,-1.89,-1.81,0.0,494.2
1180.0,baseline,17.696666566410034,16.412427223144125,16.550135791467294,16.156262883592746,16.442011787263777,-1.44,-1.83,-1.78,-1.9,-1.82,0.0,491.0
1190.0,baseline,17.669140566699586,16.385320534933307,16.52377565680935,16.131255395256662,16.41579050603417,-1.45,-1.83,-1.79,-1.91,-1.83,0.0,486.8
1200.0,baseline,17.644535564580128,16.3606727985455,16.496047132249565,16.108582924002455,16.388592279011704,-1.46,-1.84,-1.8,-1.92,-1.83,0.0,481.8
1210.0,baseline,17.589606613705932,16.336914289965645,16.468244187745157,16.087041740696158,16.36139726411393,-1.47,-1.85,-1.81,-1.92,-1.84,0.0,476.1
1220.0,baseline,17.58655603349054,16.282377214339128,16.44310280023023,16.06455056928605,16.336629378726556,-1.47,-1.87,-1.82,-1.93,-1.85,0.0,469.7
1230.0,baseline,17.535006348724583,16.280987319971057,16.422065526116473,16.045661801339826,16.31610178761476,-1.49,-1.87,-1.82,-1.94,-1.86,0.0,462.9
1240.0,baseline,17.543598428755814,16.232246645347747,16.404222857786912,15.99888597372968,16.298795075245604,-1.49,-1.88,-1.83,-1.95,-1.86,0.0,455.8
1250.0,baseline,17.49614630106901,16.24146854502539,16.389054613958816,16.005007753919067,16.28414405676318,-1.5,-1.88,-1.83,-1.95,-1.86,0.0,448.4
1260.0,baseline,17.511793584534097,16.196347567280917,16.376153998514113,15.961528617070993,16.271750085009177,-1.5,-1.89,-1.84,-1.96,-1.87,0.0,440.8
1270.0,baseline,17.46628565770926,16.212017970832196,16.36513655629737,15.97741827587778,16.260980186639383,-1.51,-1.89,-1.84,-1.96,-1.87,0.0,433.3
1280.0,baseline,17.482005114070894,16.169515911540504,16.35583075723082,15.936252530980862,16.251814302898314,-1.51,-1.9,-1.84,-1.97,-1.87,0.0,425.9
1290.0,baseline,17.438121020219903,16.189711434658705,16.34810371304175,15.957519327349676,16.24416185977287,-1.52,-1.89,-1.85,-1.96,-1.88,0.0,418.6
